Kennziffer;Raumeinheit;Aggregat;Bildungsrelevante Bevölkerung;Schulabgänger mit Hauptschulabschluss;Schulabgänger mit Hochschulreife;Schulabgänger ohne Abschluss;Beschäftigte am Wohnort ohne Berufsabschluss;Beschäftigte am Wohnort mit akademischem Abschluss;Beschäftigte am Wohnort 30-<35 Jahre mit akademischem Abschluss ;Hochqualifizierte
"06533";"Limburg-Weilburg";"Landkreis";"11,6";"22,7";"26,0";"5,2";"12,3";"11,4";"1,73";"10,8"
"06534";"Marburg-Biedenkopf";"Landkreis";"10,9";"19,1";"31,4";"5,8";"14,1";"15,7";"2,84";"13,6"
"06535";"Vogelsbergkreis";"Landkreis";"10,5";"19,0";"25,3";"6,4";"12,6";"8,2";"1,23";"8,1"
"06611";"Kassel, Stadt";"krsfr. Stadt";"10,0";"12,9";"35,5";"7,0";"14,1";"21,6";"4,39";"17,7"
"06631";"Fulda";"Landkreis";"11,5";"18,1";"27,0";"4,6";"11,7";"12,3";"2,27";"10,6"
"06632";"Hersfeld-Rotenburg";"Landkreis";"10,9";"17,3";"26,3";"4,2";"11,9";"8,6";"1,33";"8,2"
"06633";"Kassel";"Landkreis";"10,6";"17,4";"26,1";"4,1";"10,1";"9,9";"1,42";"8,5"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"10,8";"17,1";"31,9";"4,9";"12,0";"8,3";"1,26";"8,9"
"06635";"Waldeck-Frankenberg";"Landkreis";"11,2";"16,4";"23,9";"5,3";"13,1";"8,0";"1,21";"8,6"
"06636";"Werra-Meißner-Kreis";"Landkreis";"10,1";"24,8";"23,0";"4,1";"11,3";"8,6";"1,43";"8,3"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"9,4";"16,1";"43,9";"6,2";"14,7";"18,7";"3,88";"14,4"
"07131";"Ahrweiler";"Landkreis";"10,3";"14,3";"46,3";"2,2";"11,7";"11,0";"1,67";"9,4"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"11,2";"21,7";"31,9";"5,9";"14,2";"7,2";"0,99";"7,4"
"07133";"Bad Kreuznach";"Landkreis";"11,0";"18,9";"34,8";"7,7";"14,5";"9,9";"1,33";"9,1"
"07134";"Birkenfeld";"Landkreis";"10,3";"24,1";"31,1";"4,0";"15,0";"6,8";"1,03";"7,4"
"07135";"Cochem-Zell";"Landkreis";"10,6";"31,5";"24,0";"4,3";"12,2";"6,4";"0,89";"5,5"
"07137";"Mayen-Koblenz";"Landkreis";"10,9";"22,2";"28,5";"6,0";"12,0";"9,2";"1,41";"8,3"
